# Spalten:;;;;;;;;;;
# Buttonname;Kunde;Kostenstelle;VorgangsPraefix;VorgangSuffix;NachAufwand;Taetigkeit;Startzeit;Endzeit;Pause;Stunden
# Hinweise:;;;;;;;;;;
"# - ""Kunde"" kann ""leer"" sein, dann wird das Feld bewusst geleert.";;;;;;;;;;
"# - ""VorgangsPraefix"": z. B. 26 oder 26VG0 (optional)";;;;;;;;;;
"# - ""VorgangSuffix"" nur als 1-3 Ziffern (z. B. 125). Die App baut daraus YYVG0NNN.";;;;;;;;;;
"# - ""NachAufwand"": ja/nein";;;;;;;;;;
Buttonname;Kunde;Kostenstelle;VorgangsPraefix;VorgangSuffix;NachAufwand;Taetigkeit;Startzeit;Endzeit;Pause;Stunden
Schulung;;SIU;;;;Schulung:;;;;
Werkstattbesprechung;;SIU;;;;Werkstattbesprechung;;;;
Ordnung;;ORD;;;;Ordnung:;;;;
Kleinauftrage;RS;IWS;26;0016;;Kleinauftrag:;;;;
Muster;RS;IWS;26;0017;;Muster:;;;;
Werkstatteinrichtung;RS;IWS;26;0034;;Werkstatteinrichtung:;;;;
Auro-Online;RS;HAU;24;0322;;Auro Online;;;;
# ;;;;;;;;;;
# Kostenstellen-Katalog (nur Referenz, wird vom Import ignoriert):;;;;;;;;;;
# Bereich;Buttontext;Code;Beschreibung;;;;;;;
# Fussboden;Fahr/Lade;FAF;Fuboden Fahr/Lade;;;;;;;
# Fussboden;Montage;FMO;Fuboden Montage;;;;;;;
# Fussboden;Werkstatt;FWS;Fuboden Werkstatt;;;;;;;
# Bauelemente;Fahr/Lade;BAF;Bauelem. Fahr/Lade;;;;;;;
# Bauelemente;Montage;BMO;Bauelem. Mont.;;;;;;;
# Bauelemente;Werkstatt;BWS;Bauelem. WS;;;;;;;
# Innenausbau;Fahr/Lade;IAF;Innenausbau Fahr/Lade;;;;;;;
# Innenausbau;Montage;IMO;Innenausbau Mont.;;;;;;;
# Innenausbau;Werkstatt;IWS;Innenausbau WS;;;;;;;
# Dämmung-Lehm;Fahr/Lade;DAF;Dammung/Lehm Fahr/Lade;;;;;;;
# Dämmung-Lehm;Montage;DMO;Dammung/Lehm Mont.;;;;;;;
# Dämmung-Lehm;Werkstatt;DWS;Dammung/Lehm WS;;;;;;;
# Weitere;Reklamation;REK;Reklamation;;;;;;;
# Weitere;Wartung;WAR;Wartung;;;;;;;
# Weitere;Kleinaufträge;KRS;Innerbetriebliche Kleinauftrage;;;;;;;
# Weitere;Handel;HRS;Arbeiten im zusammenhang mit Handel;;;;;;;
# Weitere;Schulung;SIU;Schulung im Unternehmen;;;;;;;
# Weitere;Ordnung;ORD;Ordnung;;;;;;;
# Weitere;Beschaffung;KDB;Kosten der Beschaffung;;;;;;;
# Weitere;Baustellentermin;BST;Baustellentermin;;;;;;;
# Büro;Arbeitsvorbereitung;AVB;;;;;;;;
# Büro;Zeichnung;CAD;;;;;;;;
# Büro;Baustellentermin;BST;;;;;;;;
